HomeTeamExpenditure,HomeTeamIncome,HomeTeamBalance,AwayTeamExpenditure,AwayTeamIncome,AwayTeamBalance,HomeElo,AwayElo,EloDiff,FTR,FTR
0.0,0.145,0.145,21.12,20.82,-0.305,1524.0569628991311,1496.2945821818864,27.762380717244696,-1,H
25.74,2.46,-23.29,34.0,19.61,-14.4,1481.1748771122689,1543.2321731593615,-62.05729604709268,1,H
19.0,26.28,7.28,9.6,4.5,-5.1,1438.369444164496,1528.3147147192938,-89.94527055479784,-1,A
20.8,0.532,-20.27,16.87,5.53,-11.34,1511.3766573848054,1516.935457199994,-5.5587998151886495,-1,A
19.0,26.28,7.28,21.12,20.82,-0.305,1427.1682053868974,1534.788283312109,-107.62007792521149,0,D
13.33,6.88,-6.45,11.7,9.88,-1.83,1443.7586583489983,1604.0858222497363,-160.32716390073801,-1,A
34.48,35.55,1.07,52.39,37.72,-14.67,1499.630072690987,1488.4565275352572,11.173545155729698,1,H
20.28,1.46,-18.81,9.6,4.5,-5.1,1453.887233068969,1539.5159534968925,-85.62872042792355,-1,A
33.47,10.0,-23.47,6.61,8.94,2.34,1428.9140819669412,1397.1444581205526,31.76962384638864,0,D
0.0,0.145,0.145,18.65,42.4,23.75,1497.8912912353844,1512.4906359654822,-14.599344730097755,-1,A
25.74,2.46,-23.29,11.7,9.7,-2.0,1498.8259727373709,1551.8345732764194,-53.00860053904853,1,H
53.15,12.33,-40.82,56.3,49.53,-6.78,1507.8609091155356,1564.9671890544837,-57.10627993894809,1,H
25.91,26.39,0.475,34.0,19.61,-14.4,1494.8869403189249,1525.5810775342595,-30.69413721533465,1,H
56.3,49.53,-6.78,0.0,0.145,0.145,1526.8607023019074,1427.5462871222144,99.31441517969301,1,H
21.12,20.82,-0.305,25.91,26.39,0.475,1509.259341950142,1496.616629588577,12.642712361564918,1,D
6.61,8.94,2.34,19.0,26.28,7.28,1534.5636018997038,1525.3044204001171,9.259181499586703,1,H
9.6,4.5,-5.1,13.33,6.88,-6.45,1612.616737403351,1516.0969441140865,96.5197932892645,1,A
11.7,9.7,-2.0,53.15,12.33,-40.82,1398.5122529652797,1431.6714249171714,-33.15917195189172,1,H
34.0,19.61,-14.4,20.8,0.532,-20.27,1530.2850637818349,1511.2086759030424,19.076387878792502,0,H
11.7,9.88,-1.83,25.74,2.46,-23.29,1547.523677769902,1483.5212248989592,64.00245287094276,1,H
18.65,42.4,23.75,33.47,10.0,-23.47,1550.892141779938,1435.2277431953837,115.66439858455419,-1,H
52.39,37.72,-14.67,20.28,1.46,-18.81,1473.938762015467,1442.511044785923,31.427717229543987,1,H
16.87,5.53,-11.34,34.48,35.55,1.07,1531.6954849962224,1514.1478382107769,17.547646785445522,1,H
