Date,HomeTeam,AwayTeam,FTR,HomeAvgGoal_25,AwayAvgGoal_25
2001-02-03,Derby,Sunderland,H,,
2001-02-03,Coventry,Arsenal,A,,
2001-02-03,Bradford,Aston Villa,A,,
2001-02-03,Ipswich,Leeds,A,,
2001-02-07,Everton,Leeds,D,,
2001-02-10,Man City,Tottenham,A,,
2001-02-10,Sunderland,Liverpool,D,,
2001-02-10,Southampton,Bradford,H,,
2001-02-10,Everton,Leicester,H,,
2001-02-10,Chelsea,Man United,D,,
2001-02-10,Aston Villa,Middlesbrough,D,,
2001-02-10,Arsenal,Ipswich,H,,
2001-02-10,Leeds,Derby,D,,
2001-02-11,Charlton,Newcastle,H,,
2001-02-12,West Ham,Coventry,D,,
2001-02-24,Newcastle,Man City,A,,
2001-02-24,Bradford,West Ham,A,,
2001-02-24,Coventry,Charlton,D,,
2001-02-24,Derby,Aston Villa,H,,
2001-02-24,Ipswich,Everton,H,,
2001-02-24,Leicester,Sunderland,H,,
2001-02-24,Middlesbrough,Southampton,A,,
2001-02-24,Tottenham,Leeds,A,,
2001-02-25,Man United,Arsenal,H,,
2001-03-03,Man City,Southampton,A,,
2001-03-03,Leicester,Liverpool,H,,
2001-03-03,Middlesbrough,Charlton,D,,
2001-03-03,Leeds,Man United,D,,
2001-03-03,Coventry,Chelsea,D,,
2001-03-03,Derby,Tottenham,H,,
2001-03-03,Everton,Newcastle,D,,
2001-03-03,Arsenal,West Ham,H,,
2001-03-04,Ipswich,Bradford,H,,
2001-03-05,Sunderland,Aston Villa,D,,
2001-03-07,West Ham,Chelsea,A,,
2001-03-10,Aston Villa,Ipswich,H,,
2001-03-17,West Ham,Ipswich,A,,
2001-03-17,Tottenham,Coventry,H,,
2001-03-17,Southampton,Everton,H,,
2001-03-17,Newcastle,Middlesbrough,A,,
2001-03-17,Man United,Leicester,H,,
2001-03-17,Chelsea,Sunderland,A,,
2001-03-17,Charlton,Leeds,A,,
2001-03-17,Bradford,Man City,D,,
2001-03-18,Aston Villa,Arsenal,D,,
2001-03-18,Liverpool,Derby,D,,
2001-03-31,West Ham,Everton,A,,
2001-03-31,Sunderland,Leeds,A,,
2001-03-31,Man City,Aston Villa,A,,
2001-03-31,Liverpool,Man United,H,,
2001-03-31,Arsenal,Tottenham,H,,
2001-03-31,Chelsea,Middlesbrough,H,,
2001-03-31,Bradford,Newcastle,D,,
2001-03-31,Coventry,Derby,H,,
2001-04-01,Charlton,Leicester,H,,
2001-04-02,Southampton,Ipswich,A,,
2001-04-04,Aston Villa,Leicester,H,,
2001-04-07,Aston Villa,West Ham,D,,
2001-04-07,Derby,Chelsea,A,,
2001-04-07,Leeds,Southampton,H,,
2001-04-07,Leicester,Coventry,A,,
2001-04-08,Everton,Man City,H,,
2001-04-09,Middlesbrough,Sunderland,D,,
2001-04-10,Tottenham,Bradford,H,,
2001-04-10,Ipswich,Liverpool,D,,
2001-04-10,Man United,Charlton,H,,
2001-04-11,Man City,Arsenal,A,,
2001-04-13,Bradford,Charlton,H,,
2001-04-13,Liverpool,Leeds,A,,
2001-04-14,Arsenal,Middlesbrough,A,,
2001-04-14,Aston Villa,Everton,H,,
2001-04-14,Chelsea,Southampton,H,,
2001-04-14,Ipswich,Newcastle,H,,
2001-04-14,Leicester,Man City,A,,
2001-04-14,Man United,Coventry,H,,
2001-04-14,Sunderland,Tottenham,A,,
2001-04-14,West Ham,Derby,H,,
2001-04-16,Newcastle,West Ham,H,,
2001-04-16,Middlesbrough,Ipswich,A,,
2001-04-16,Everton,Liverpool,A,,
2001-04-16,Derby,Leicester,H,,
2001-04-16,Coventry,Sunderland,H,,
2001-04-17,Charlton,Aston Villa,D,,
2001-04-17,Tottenham,Chelsea,A,,
2001-04-21,Arsenal,Everton,H,,
2001-04-21,Aston Villa,Southampton,D,,
2001-04-21,Bradford,Derby,H,,
2001-04-21,Chelsea,Charlton,A,,
2001-04-21,Ipswich,Coventry,H,,
2001-04-21,Leicester,Middlesbrough,A,,
2001-04-21,Man United,Man City,D,,
2001-04-21,Sunderland,Newcastle,D,,
2001-04-21,West Ham,Leeds,A,,
2001-04-22,Liverpool,Tottenham,H,,
2001-04-28,Southampton,Sunderland,A,,
2001-04-28,Newcastle,Leicester,H,,
2001-04-28,Tottenham,Aston Villa,D,,
2001-04-28,Middlesbrough,Man United,A,,
2001-04-28,Everton,Bradford,H,,
2001-04-28,Leeds,Chelsea,H,,
2001-04-28,Man City,West Ham,H,,
2001-04-28,Derby,Arsenal,A,,
2001-04-28,Coventry,Liverpool,A,,
2001-04-30,Charlton,Ipswich,H,,
2001-05-01,Bradford,Liverpool,A,,
2001-05-01,Newcastle,Southampton,D,,
2001-05-05,Sunderland,Charlton,H,,
2001-05-05,Man United,Derby,A,,
2001-05-05,Liverpool,Newcastle,H,,
2001-05-05,Leicester,Tottenham,H,,
2001-05-05,Aston Villa,Coventry,H,,
2001-05-05,Bradford,Middlesbrough,D,,
2001-05-05,West Ham,Southampton,H,,
2001-05-05,Arsenal,Leeds,H,,
2001-05-05,Chelsea,Everton,H,,
2001-05-07,Ipswich,Man City,H,,
2001-05-08,Liverpool,Chelsea,D,,
2001-05-13,Leeds,Bradford,H,,
2001-05-13,Southampton,Man United,H,,
2001-05-15,Newcastle,Arsenal,D,,
2001-05-19,Tottenham,Man United,H,,
2001-05-19,Southampton,Arsenal,H,,
2001-05-19,Newcastle,Aston Villa,H,,
2001-05-19,Middlesbrough,West Ham,H,,
2001-05-19,Man City,Chelsea,A,,
2001-05-19,Everton,Sunderland,D,,
2001-05-19,Derby,Ipswich,D,,
2001-05-19,Coventry,Bradford,D,,
2001-05-19,Charlton,Liverpool,A,,
2001-05-19,Leeds,Leicester,H,,
2001-08-18,Middlesbrough,Arsenal,A,,
2001-08-18,Sunderland,Ipswich,H,,
2001-08-18,Tottenham,Aston Villa,D,,
2001-08-18,Liverpool,West Ham,H,,
2001-08-18,Derby,Blackburn,H,,
