Date,HomeTeam,AwayTeam,FTR,HTR,Referee,HomeTeamExpenditure,HomeTeamIncome,HomeTeamBalance,AwayTeamExpenditure,AwayTeamIncome,AwayTeamBalance
2000-11-18,Southampton,Aston Villa,H,H,Peter Jones,0.0,0.145,0.145,21.12,20.82,-0.305
2000-11-19,Tottenham,Liverpool,H,H,Mark Halsey,25.74,2.46,-23.29,34.0,19.61,-14.4
2000-11-20,Coventry,Ipswich,A,D,David Ellaray,19.0,26.28,7.28,9.6,4.5,-5.1
2000-11-25,Charlton,Sunderland,A,D,Steve Dunn,20.8,0.532,-20.27,16.87,5.53,-11.34
2000-11-25,Coventry,Aston Villa,D,A,Jeff Winter,19.0,26.28,7.28,21.12,20.82,-0.305
2000-11-25,Derby,Man United,A,D,David Ellaray,13.33,6.88,-6.45,11.7,9.88,-1.83
2000-11-25,Everton,Chelsea,H,A,Rob Styles,34.48,35.55,1.07,52.39,37.72,-14.67
2000-11-25,Man City,Ipswich,A,A,Mike Dean,20.28,1.46,-18.81,9.6,4.5,-5.1
2000-11-25,Middlesbrough,Bradford,D,A,Paul Taylor,33.47,10.0,-23.47,6.61,8.94,2.34
2000-11-25,Southampton,West Ham,A,A,Steve Bennett,0.0,0.145,0.145,18.65,42.4,23.75
2000-11-25,Tottenham,Leicester,H,H,Rob Harris,25.74,2.46,-23.29,11.7,9.7,-2.0
2000-11-26,Leeds,Arsenal,H,D,Dermot Gallagher,53.15,12.33,-40.82,56.3,49.53,-6.78
2000-11-26,Newcastle,Liverpool,H,H,Barry Knight,25.91,26.39,0.475,34.0,19.61,-14.4
2000-12-02,Arsenal,Southampton,H,D,Steve Dunn,56.3,49.53,-6.78,0.0,0.145,0.145
2000-12-02,Aston Villa,Newcastle,D,H,David Ellaray,21.12,20.82,-0.305,25.91,26.39,0.475
2000-12-02,Bradford,Coventry,H,D,Mike Dean,6.61,8.94,2.34,19.0,26.28,7.28
2000-12-02,Ipswich,Derby,A,A,Mark Halsey,9.6,4.5,-5.1,13.33,6.88,-6.45
2000-12-02,Leicester,Leeds,H,H,Steve Bennett,11.7,9.7,-2.0,53.15,12.33,-40.82
